ID,Parent ID,Task Type,Title,"Description & Technical Notes","Learning Objective","Deliverable","Acceptance Criteria (AC)",Priority,Status,Story Points,Dependencies,Labels
M0,,Epic,Milestone 0: Project Foundation & Setup,"Establish a professional, reproducible development environment. This milestone is about building the workshop before you build the product.","",,Critical,Backlog,,,"infra"
M0.1,M0,Feature,Environment Setup,"Create the repository and a containerized local development environment for consistency.","Understand the importance of a clean, version-controlled, and reproducible developer setup.","A new GitHub repository and a working local Docker environment.",,Critical,Backlog,(Parent),,"infra"
M0.1.1,M0.1,Chore,Initialize Git Repository,"Create a GitHub repository. Add a README.md, a comprehensive .gitignore for Python/Solidity, and the core project directories: /contracts, /backend, /scripts, /tests, /docs.","Learn the fundamentals of version control with Git and standard project structuring.","A new public GitHub repository containing the specified files and folder structure.","The repository exists and is accessible online. The main branch contains the correct folder structure.",Critical,To Do,1,,"infra"
M0.1.2,M0.1,Chore,Install Core Tooling,"Install Foundry for smart contract development. Install Python and create a `requirements.txt` file for the backend. Add `web3.py` and `fastapi` to start.","Gain familiarity with the core tooling for Solidity and Python development.","Successful version checks for `forge` and `python` in the terminal.","`forge --version`, `python --version`, and `pip install -r requirements.txt` all execute without errors.",Critical,To Do,2,M0.1.1,"infra"
M0.1.3,M0.1,Chore,Containerize Services with Docker Compose,"Create a `docker-compose.yml` file to define and link services for a PostgreSQL database and an Anvil testnet node. This allows the entire dev environment to start with one command.","Understand how Docker Compose orchestrates multi-service local development environments.","A `docker-compose.yml` file in the root directory.","Running `docker-compose up` successfully starts both a PostgreSQL container and an Anvil container, with logs visible for both.",High,To Do,3,M0.1.2,"infra,docker"
M1,,Epic,Milestone 1: End-to-End Core Logic,"Prove the core cryptographic concept by connecting an off-chain script to an on-chain smart contract. This is the highest-risk and most novel part of the system.","",,Critical,Backlog,,,"blockchain,backend"
M1.1,M1,Feature,Implement BatchRegistry Contract,"Develop the primary smart contract responsible for storing Merkle root commitments, which acts as the on-chain anchor of trust.","Master the fundamentals of smart contract development, security, and Test-Driven Development (TDD) with Foundry.","A secure, tested, and well-documented `BatchRegistry.sol` contract.",,Critical,Backlog,(Parent),,"blockchain,test"
M1.1.0,M1.1,Research,Research OpenZeppelin AccessControl,"Read the official OpenZeppelin documentation for `AccessControl.sol`. Understand how roles are defined, granted, and checked with the `onlyRole` modifier.","Build the habit of reading technical documentation before implementing, a critical engineering skill.","A few bullet points in a personal log summarizing what `AccessControl` does and why it's useful.","You can explain what `DEFAULT_ADMIN_ROLE` and `keccak256(""OPERATOR_ROLE"")` do.",Critical,To Do,1,M0.1.3,"research,blockchain,security"
M1.1.1,M1.1,Task,Implement BatchRegistry.sol Structure,"Create `contracts/BatchRegistry.sol`. Import `AccessControl.sol` and `ReentrancyGuard.sol`. Define state variables and the `OPERATOR_ROLE` constant as per the architecture.","Learn basic Solidity syntax, state management, and how to import external dependencies.","A `BatchRegistry.sol` file that compiles successfully.","The command `forge build` executes without any compiler errors.",Critical,To Do,1,M1.1.0,"blockchain"
M1.1.2,M1.1,Test,Write Failing Test for commitBatch,"In `tests/BatchRegistry.t.sol`, write a test for the `commitBatch` function *before* implementing it. The test should fail because the function doesn't exist yet.","Understand the ""Red"" step of the Red-Green-Refactor TDD cycle.","A new test file with a single, failing test case.","Running `forge test` shows one test failing as expected.",Critical,To Do,1,M1.1.1,"blockchain,test"
M1.1.3,M1.1,Task,Implement commitBatch Function,"Implement the `commitBatch` function with the full signature. Use the `onlyRole` modifier. The logic should store the Merkle root and emit the `BatchCommitted` event.","Understand the ""Green"" step of TDD by writing the minimum code to make a failing test pass.","The implementation of the `commitBatch` function inside `BatchRegistry.sol`.","The previously failing test from M1.1.2 now passes. The `forge test` command shows 1 passing test.",Critical,To Do,2,M1.1.2,"blockchain"
M1.1.4,M1.1,Test,Test Access Control Rejection,"Write a new test (`test_Revert_When_NotOperator`) that uses `vm.prank` and `vm.expectRevert` to prove that calls from non-operator accounts fail as expected.","Learn how to test for security rules and failure cases, which is as important as testing for success.","A new passing test case in `BatchRegistry.t.sol`.","`forge test` shows 2 passing tests.",Critical,To Do,1,M1.1.3,"blockchain,test,security"
M1.2,M1,Feature,Build Off-Chain Merkle & Connection Scripts,"Create the Python scripts that will build the Merkle tree and send the transaction to the smart contract, bridging the off-chain and on-chain worlds.","Learn how a backend application interacts with a smart contract using libraries and RPC connections.","Two Python scripts: one for building a Merkle tree, one for sending a transaction.",,Critical,Backlog,(Parent),,"backend,crypto"
M1.2.1,M1.2,Task,Implement Merkle Tree Builder Script,"Create `scripts/merkle_builder.py`. Use a library like `pymerkle` to take a list of applicant data, serialize it according to the canonical format, build a tree, and return the root.","Learn the practical application of cryptographic primitives like hash functions and Merkle trees.","A Python function `generate_merkle_root(applicants)` that returns a hex string.","The function produces a predictable Merkle root for a given input list, verifiable with an online tool.",Critical,To Do,3,M1.1.4,"backend,crypto"
M1.2.2,M1.2,Task,Implement Blockchain Transaction Script,"Create `scripts/commit_batch.py`. Use `web3.py` to connect to the local Anvil node. It should load the contract ABI, address, and an operator private key (from a `.env` file) to call the `commitBatch` function.","Learn how to send transactions to a blockchain, including handling contract ABIs, addresses, and private keys for signing.","A runnable Python script that sends a transaction.","Running `python scripts/commit_batch.py` prints a transaction hash and the `BatchCommitted` event is visible in the Anvil console logs.",Critical,To Do,3,M1.2.1,"backend,blockchain"
M2,,Epic,Milestone 2: Minimum Viable Product (MVP),"Build the full application loop: a backend API for data ingestion, a database for storage, an indexer to sync state, and a simple UI for users to see the results.","",,Critical,Backlog,,,"api,database,frontend"
M2.1,M2,Feature,Build Backend API & Database,"Create a FastAPI server to handle applicant data. This is the primary entry point for operators into the system.","Learn the fundamentals of API design, database modeling with an ORM, and secure data handling.","A functional FastAPI application with endpoints for managing applicants and batches.",,Critical,Backlog,(Parent),,"backend,api,database"
M2.1.1,M2.1,Task,Design & Implement DB Schema with ORM,"In `backend/models.py`, use SQLAlchemy to define Python classes for the `applicants`, `batches`, and `leaves` tables. Create a script to initialize the database schema.","Understand how Object-Relational Mapping (ORM) abstracts raw SQL and helps maintain a consistent data model in code.","Python files defining the database models (`models.py`).","The script runs and successfully creates the tables in the PostgreSQL database.",Critical,To Do,2,M1.2.2,"backend,database"
M2.1.2,M2.1,Task,Implement Secure Applicant Ingestion API,"Create a `POST /v1/applicants` endpoint in FastAPI. Use a Pydantic model for request body validation. The endpoint logic will hash the unique ID and store the data in the `applicants` table.","Learn how modern web frameworks use data validation and how to handle sensitive data by hashing identifiers.","A new endpoint in `backend/main.py`.","Sending a `POST` request with a valid JSON body to the endpoint returns a `201 Created` status.",Critical,To Do,3,M2.1.1,"backend,api,security"
M2.1.3,M2.1,Task,Implement Batch Creation API,"Create a `POST /v1/batches` endpoint. This endpoint will fetch eligible applicants from the DB and trigger the (now refactored) `commit_batch` logic from M1.2.2.","Learn to compose existing services (DB access, blockchain script) into a single API endpoint.","A new endpoint in `backend/main.py`.","Calling this endpoint successfully commits a new batch to the blockchain using data pulled from the database.",High,To Do,5,M2.1.2,"backend,api"
M2.2,M2,Feature,Develop the Blockchain Indexer,"Create the service that listens for on-chain events and populates the database, making on-chain data queryable and available to the frontend.","Learn about event-driven architecture and the critical role of indexers in making dApp data useful.","A standalone Python service that syncs blockchain events to the database.",,Critical,Backlog,(Parent),,"backend,indexer"
M2.2.1,M2.2,Task,Implement Event Listener,"Create `indexer/listener.py`. Use `web3.py`'s WebSocketProvider to subscribe to `BatchCommitted` events. On receipt, the listener should simply log the full event data.","Learn how to create a persistent connection to a blockchain node to listen for real-time events.","A Python script that can run as a background service.","When a new batch is committed, the indexer process prints the raw event data to its console within seconds.",Critical,To Do,3,M2.1.3,"backend,blockchain,indexer"
M2.2.2,M2.2,Task,Implement Batch Verification Logic,"When the indexer receives an event, it must fetch the corresponding applicant data, re-compute the Merkle root, and confirm it matches the root from the on-chain event.","Learn the importance of the ""trust but verify"" principle in decentralized systems. The indexer must act as an independent auditor.","A verification function `verify_batch(event_data)` within the indexer.","The function returns `True` for a valid batch and `False` for a batch with a mismatched root, logging the outcome.",Critical,To Do,3,M2.2.1,"backend,indexer,security"
M2.2.3,M2.2,Task,Implement DB Ingestion Logic,"If batch verification succeeds, the indexer must write the batch and leaf data to the `batches` and `leaves` tables within an atomic database transaction.","Learn how to use database transactions to ensure data consistency, especially in an asynchronous, event-driven system.","A database function `save_verified_batch(...)` used by the indexer.","After a successful batch commit, the `batches` and `leaves` tables are correctly populated. No partial data is ever written.",Critical,To Do,3,M2.2.2,"backend,indexer,database"
M2.3,M2,Feature,Build Frontend User Interfaces,"Create a simple UI for public transparency and for applicants to check their status. This makes the system's promises tangible to end-users.","Learn the basics of a modern frontend framework and how it consumes data from a backend API to build a user experience.","A simple, single-page web application (SPA).",,High,Backlog,(Parent),,"frontend"
M2.3.1,M2.3,Task,Implement Indexer API for Frontend,"Create new read-only endpoints in the FastAPI backend (e.g., `GET /v1/batches`, `GET /v1/applicants/{hash}/status`) that serve data from the indexer's database.","Learn how to design and build read-only API endpoints optimized for consumption by a user interface.","New GET endpoints in `backend/main.py`.","Accessing these endpoints in a browser or with `curl` returns correctly formatted JSON data from the database.",High,To Do,3,M2.2.3,"backend,api"
M2.3.2,M2.3,Task,Build Public Explorer UI,"Using React or Vue, create a page that calls the `GET /v1/batches` endpoint and displays a table of all committed batches.","Learn how to fetch data in a frontend application and render it as a dynamic list.","A UI component that displays a list of batches. A screenshot of the working UI.","The web application loads and displays a list of batches fetched from the backend API.",High,To Do,5,M2.3.1,"frontend"
M2.3.3,M2.3,Task,Build Applicant Status Portal UI,"Create a page with an input box. A user can enter their applicant hash, and the UI will call the status endpoint to display their batch ID and position.","Learn how to handle user input and display conditional data in a frontend application.","A UI component for status lookup. A screenshot showing a successful lookup.","An applicant can enter their hash, click a button, and see their correct status displayed on the page.",High,To Do,3,M2.3.1,"frontend"
M3,,Epic,Milestone 3: Advanced Topics & Documentation,"Go beyond the MVP to explore production-level concepts. The focus is on research and documentation, demonstrating a mature understanding of real-world system architecture.","",,Medium,Backlog,,,"docs,security,infra"
M3.1,M3,Feature,Research & Document Production Concepts,"Formalize your learnings in high-quality documentation. This is where you demonstrate that you understand the path from your prototype to a production-ready system.","Learn to communicate complex technical concepts clearly and concisely, a crucial skill for senior engineers.","A `/docs` directory populated with professional-quality Markdown documents.",,Medium,Backlog,(Parent),,"docs"
M3.1.1,M3.1,Docs,Write Project Architecture Document,"Create `docs/architecture.md`. Based on the original proposal and your implementation, create your own diagrams (e.g., using Mermaid.js or an online tool) and explanations for how the system works.","Learn to synthesize and document a complete system architecture.","A detailed `architecture.md` file with at least one system diagram.","The document clearly explains each component, the data flows, and the rationale behind key design choices.",Medium,To Do,5,M2.3.3,"docs"
M3.1.2,M3.1,Docs,Write Security & Governance Model,"Create `docs/security.md`. Explain the role of KMS/HSM for production key management and on-chain governance (e.g., a Gnosis Safe) for contract upgrades. Research and describe at least two potential smart contract vulnerabilities and how your design mitigates them.","Learn to think adversarially and understand the security and governance models required for real-world dApps.","A `security.md` file outlining threats, mitigations, and governance strategies.","The document outlines key security threats and how production-grade tools and practices would mitigate them.",Medium,To Do,3,M3.1.1,"docs,security"
M3.1.3,M3.1,Docs,Write Scalability Analysis,"Create `docs/scalability.md`. Write a script to populate your DB with 1 million synthetic `leaves`. Benchmark the applicant lookup query time. Propose and explain a specific scaling strategy (e.g., PostgreSQL partitioning by `wilayaCode`).","Learn how to benchmark a system, identify potential bottlenecks, and make data-driven decisions about scaling.","A `scalability.md` document with benchmark results and a scaling proposal.","The document includes performance numbers (e.g., query latency) and a well-reasoned proposal for handling national-level scale.",Medium,To Do,3,M3.1.1,"docs,infra"